model_b,metric,general_proxy,layer,baseline_accuracy,intervention_accuracy,tool_damage_probability,baseline_perplexity_arithmetic_mean,intervention_perplexity_arithmetic_mean,perplexity_relative_damage,perplexity_log_ratio,predicted_tool_damage_probability,residual_probability,residual_pointwise_95_low,residual_pointwise_95_high,residual_simultaneous_95_low,residual_simultaneous_95_high,residual_bootstrap_se,leverage,leave_one_layer_out_residual,isotonic_log_residual,damage_rank_descending_average_ties,residual_rank_descending_average_ties,equal_damage_layers,intervention_complete_failure,baseline_at_ceiling,point_residual_at_least_10pp,simultaneous_low_above_zero,simultaneous_low_above_10pp,raw_log_and_loo_point_material,isotonic_point_material
1.7,tool_selection,log_ratio,20,1.0,0.6,0.4,22.592421531677246,38.02307968139648,0.6830015157110816,0.5205788158090249,0.23208241620436174,0.1679175837956383,-0.030619776984491486,0.3691616048437562,-0.20721606493691594,0.5430512325281925,0.10349791545442752,0.036760604910119205,0.17432590968724837,0.07083333333333336,8.0,7.0,1,False,True,True,False,False,True,False
1.7,tool_selection,log_ratio,21,1.0,0.5,0.5,22.592421531677246,30.482859802246093,0.3492515514330998,0.29955003236446237,0.21716178993257518,0.2828382100674248,0.07832271993892767,0.4882746507990709,-0.09821800941564462,0.6638944295504943,0.10513192970209823,0.03795479314877902,0.2939967977109473,0.17083333333333334,6.0,5.0,1,False,True,True,False,False,True,True
1.7,tool_selection,log_ratio,22,1.0,1.0,0.0,22.592421531677246,33.650381851196286,0.4894544085951331,0.3984098841731307,0.2238353592258311,-0.2238353592258311,-0.25760566137347934,-0.19270798617114543,-0.2828163774906872,-0.16485434096097495,0.01627263366647275,0.0373651378090375,-0.23252363696488254,-0.32916666666666666,23.0,27.0,11,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,23,1.0,1.0,0.0,22.592421531677246,27.19150562286377,0.20356755847256403,0.18529011166553264,0.20944863353717613,-0.20944863353717613,-0.24544864144888517,-0.17893242345754448,-0.270149643532031,-0.14874762354232124,0.01674717269877545,0.03874826172928486,-0.21789155243971023,-0.10384615384615385,23.0,22.0,11,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,24,1.0,0.05,0.95,22.592421531677246,31.881419372558593,0.41115547653256534,0.34440885569654567,0.22019000068186878,0.7298099993181312,0.6223780632001863,0.7961601475401872,0.5601776024327323,0.8994423962035301,0.04680091890048928,0.037676092531894134,0.7583829037753789,0.6208333333333333,4.0,2.0,1,False,True,True,True,True,True,True
1.7,tool_selection,log_ratio,25,1.0,1.0,0.0,22.592421531677246,27.178653526306153,0.20299869087510025,0.18481734877507544,0.20941671951089524,-0.20941671951089524,-0.2447040046317729,-0.1794444994325201,-0.2695502944721937,-0.1492831445495968,0.01659061957876788,0.03875179417719844,-0.21785915255013705,-0.10384615384615385,23.0,21.0,11,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,26,1.0,0.95,0.050000000000000044,22.592421531677246,30.48823947906494,0.34948967007882814,0.29972649881811725,0.2171737023629992,-0.16717370236299917,-0.2400752253977163,-0.06596327520149861,-0.33466034995270244,0.00031294522670410885,0.04620891501082854,0.03795366053871595,-0.1737688669514726,-0.2791666666666666,16.0,15.0,3,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,27,1.0,0.15,0.85,22.592421531677246,27.942537689208983,0.23681021310753447,0.21253565650413042,0.211287853686573,0.638712146313427,0.47106474491132283,0.770322705117181,0.359086879044908,0.918337413581946,0.07714752427157409,0.03854815729546688,0.6643204765375978,0.5208333333333333,5.0,3.0,1,False,True,True,True,True,True,True
1.7,tool_selection,relative,0,1.0,0.0,1.0,22.592421531677246,24719176.571875,1094134.7719098765,13.905475360214083,1.0004799368580894,-0.00047993685808944697,-0.0009369606654813567,-9.211770484119364e-05,-0.0018734033036640358,0.0009135295874851419,0.00038445197560904614,0.9999996174264304,-1254.495595309728,0.0,2.0,10.0,3,True,True,False,False,False,False,False
1.7,tool_selection,relative,1,1.0,0.85,0.15000000000000002,22.592421531677246,370.8703815460205,15.415698557412998,2.798238106089072,0.23701163895168909,-0.08701163895168906,-0.220315440311508,0.07778643858260989,-0.3621668538088094,0.1881435759054313,0.07591425418739237,0.03703777619560545,-0.0903583098077621,-0.17916666666666664,11.0,11.0,1,False,True,False,False,False,False,False
1.7,tool_selection,relative,2,1.0,0.0,1.0,22.592421531677246,15617.273120117188,690.2615851390665,6.538518312390955,0.2374825413605101,0.7625174586394898,0.730740227038302,0.7922414491019371,0.7055450543411824,0.8194898629377972,0.015718464881047035,0.0369924690974785,0.7918084066537525,0.0,2.0,2.0,3,True,True,True,True,True,True,False
1.7,tool_selection,relative,3,1.0,1.0,0.0,22.592421531677246,29.479062271118163,0.3048208324984125,0.26606573824443097,0.2370010946943089,-0.2370010946943089,-0.26850884033221595,-0.20735698909698788,-0.2940107438033317,-0.1799914455852861,0.015728740579544247,0.0370387997259488,-0.24611697192665735,-0.32916666666666666,23.0,26.0,11,False,True,False,False,False,False,False
1.7,tool_selection,relative,4,1.0,0.95,0.050000000000000044,22.592421531677246,33.473208618164065,0.4816122552967892,0.39313085653916746,0.23700121805804056,-0.1870012180580405,-0.2518140233301297,-0.0851401917949406,-0.35000839732893696,-0.023994038787144095,0.04497304711439469,0.03703878774875255,-0.19419392565237587,-0.2791666666666666,16.0,17.0,3,False,True,False,False,False,False,False
1.7,tool_selection,relative,5,1.0,1.0,0.0,22.592421531677246,32.121357154846194,0.421775753865439,0.3519066212418295,0.2370011763045777,-0.2370011763045777,-0.26850885526322815,-0.2073571831729578,-0.294010817127009,-0.17999153548214644,0.01572873829330585,0.037038791802526415,-0.24611705465084124,-0.32916666666666666,23.0,27.0,11,False,True,False,False,False,False,False
1.7,tool_selection,relative,6,1.0,1.0,0.0,22.592421531677246,26.484488105773927,0.17227310355552383,0.1589446875205985,0.2370010022034957,-0.2370010022034957,-0.26850878608169243,-0.20735691230062012,-0.2940106525243394,-0.17999135188265203,0.015728740913880913,0.03703880870577608,-0.24611687817342395,-0.10384615384615385,23.0,21.0,11,False,True,False,False,False,False,False
1.7,tool_selection,relative,7,1.0,1.0,0.0,22.592421531677246,24.21771583557129,0.07193980076970452,0.06946990507339318,0.23700093219166796,-0.23700093219166796,-0.26850871263189763,-0.20735683179082892,-0.294010639205352,-0.17999122517798394,0.015728756555215183,0.03703881550316462,-0.24611680720599888,-0.10384615384615385,23.0,20.0,11,False,True,False,False,False,False,False
1.7,tool_selection,relative,8,1.0,1.0,0.0,22.592421531677246,24.036681938171387,0.06392676431205557,0.06196655801674039,0.2370009266002311,-0.2370009266002311,-0.26850872537392223,-0.20735681836236128,-0.29401060676833446,-0.17999124643212772,0.015728749148623843,0.03703881604603319,-0.2461168015382442,-0.10384615384615385,23.0,19.0,11,False,True,False,False,False,False,False
1.7,tool_selection,relative,9,1.0,1.0,0.0,22.592421531677246,27.36604404449463,0.21129308808815384,0.19168845683112007,0.23700102943134888,-0.23700102943134888,-0.2685087229821855,-0.20735696256041397,-0.29401071973655224,-0.1799913391261455,0.01572875194541032,0.037038806062251795,-0.2461169057729133,-0.10384615384615385,23.0,24.0,11,False,True,False,False,False,False,False
1.7,tool_selection,relative,10,1.0,0.95,0.050000000000000044,22.592421531677246,23.503746604919435,0.04033764472588319,0.039545318853422294,0.23700091013992,-0.18700091013991996,-0.2481126063708172,-0.09441695503067372,-0.3379516034446072,-0.03605021683523271,0.04164670950265508,0.03703881764415359,-0.19419361191946458,-0.05384615384615381,16.0,15.0,3,False,True,False,False,False,False,False
1.7,tool_selection,relative,11,1.0,0.0,1.0,22.592421531677246,29.315540504455566,0.29758292900792904,0.2605032484724428,0.23700108964375402,0.762998910356246,0.7314911685263732,0.792642960970661,0.7059892804795043,0.8200085402329877,0.015728735273432656,0.03703880021630061,0.7923464730745444,0.6708333333333334,2.0,1.0,3,True,True,True,True,True,True,True
1.7,tool_selection,relative,12,1.0,0.55,0.44999999999999996,22.592421531677246,22.364794731140137,-0.010075360900023478,-0.010126460872172989,0.23700087496210198,0.21299912503789797,0.005567308367263174,0.4241301312365808,-0.17656512783683426,0.6025633779126303,0.10747926304217284,0.03703882105954723,0.22119180886633574,0.3461538461538461,7.0,6.0,1,False,True,True,False,False,True,True
